From	To	AU	KM	MILES
Mercury	Venus	0.34	50290000	31248757
Mercury	Earth	0.61	91691000	56974146
Mercury	Mars	1.14	170030000	105651744
Mercury	Jupiter	4.82	720420000	447648234
Mercury	Saturn	9.14	1366690000	849221795
Mercury	Uranus	18.82	2815640000	1749638696
Mercury	Neptune	29.70	4443090000	2760936126
Venus	Earth	0.28	41400000	25724767
Venus	Mars	0.8	119740000	74402987
Venus	Jupiter	4.48	670130000	416399477
Venus	Saturn	8.80	1316400000	817973037
Venus	Uranus	18.49	2765350000	1718388490
Venus	Neptune	29.37	4392800000	2729685920
Earth	Mars	0.52	78340000	48678219
Earth	Jupiter	4.2	628730000	390674710
Earth	Saturn	8.52	1275000000	792248270
Earth	Uranus	18.21	2723950000	1692662530
Earth	Neptune	29.09	4351400000	2703959960
Mars	Jupiter	3.68	550390000	342012346
Mars	Saturn	7.99	1196660000	743604524
Mars	Uranus	17.69	2645610000	1643982054
Mars	Neptune	28.56	4273060000	2655279484
Jupiter	Saturn	4.32	646270000	401592178
Jupiter	Uranus	14.01	2095220000	1301969708
Jupiter	Neptune	24.89	3722670000	2313267138
Saturn	Uranus	9.7	1448950000	900377530
Saturn	Neptune	20.57	3076400000	1911674960
Uranus	Neptune	10.88	1627450000	1011297430
